,hotel_address,additional_number_of_scoring,review_date,average_score,hotel_name,total_number_of_reviews,reviewer_score,lat,lng
0, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,8/3/2017,7.7,Hotel Arena,1403,2.9,52.36057589999999,4.915968299999999
53,15 Rue Jacob 6th arr 75006 Paris France,87,4/12/2017,9.3,Mill sime H tel,656,10.0,48.8550236,2.3350786
406,1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom,244,8/3/2017,8.5,K K Hotel George,1831,9.6,51.49188779999999,-0.19497060000000002
549,1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,1274,10/24/2015,7.7,Grand Royale London Hyde Park,6539,5.0,51.5109945,-0.18634170000000003
645,1 Place Vend me 1st arr 75001 Paris France,70,6/16/2016,8.7,H tel De Vend me,425,8.3,48.8668564,2.3286339
692,16 rue de S ze 9th arr 75009 Paris France,61,5/15/2017,9.2,Hotel de Seze,489,9.6,48.870574100000006,2.3264194
791,1 2 Serjeant s Inn Fleet Street City of London London EC4Y 1LL United Kingdom,639,3/22/2016,9.2,Apex Temple Court Hotel,2619,10.0,51.5137335,-0.10875119999999999
811,1 Shortlands Hammersmith and Fulham London W6 8DR United Kingdom,704,5/7/2017,8.3,Novotel London West,2443,10.0,51.4919588,-0.2200956
1019,10 12 rue de Charonne 11th arr 75011 Paris France,84,3/18/2017,8.9,Hotel L Antoine,796,5.8,48.852421500000005,2.3743832
1261,10 Godliman Street City of London London EC4V 5AJ United Kingdom,788,5/15/2016,8.5,Grange St Paul s Hotel,2635,7.9,51.5127625,-0.09971569999999999
1274,10 rue d Ormesson 4th arr 75004 Paris France,27,5/6/2017,9.0,H tel de Jos phine BONAPARTE,240,8.8,48.855531899999995,2.3621212000000003
1475,10 rue de Vaugirard 6th arr 75006 Paris France,83,4/11/2017,8.3,Le Senat,549,10.0,48.8491427,2.3397118
1805,10 Rue Kepler 16th arr 75016 Paris France,77,9/22/2015,9.1,H tel Keppler,338,9.6,48.869910299999994,2.2973386000000002
2020,1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom,1058,8/2/2017,7.7,The Park Grand London Paddington,4380,8.3,51.514218400000004,-0.18090320000000001
2128,1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,3/13/2016,8.0,The Principal London,3150,7.1,51.5226217,-0.1251602
2373,10 rue Lamartine 9th arr 75009 Paris France,42,9/6/2016,8.8,Les Plumes Hotel,514,7.1,48.8766269,2.3432886
2487,100 110 Euston Road Camden London NW1 2AJ United Kingdom,728,2/5/2017,8.9,Pullman London St Pancras,3168,10.0,51.5286766,-0.12834890000000002
2538,100 Vauxhall Walk Lambeth London SE11 5AL United Kingdom,94,8/21/2015,9.2,Staybridge Suites London Vauxhall,742,8.8,51.4891226,-0.12056389999999999
2562,104 Bayswater Rd Westminster Borough London W2 3HL United Kingdom,466,9/14/2015,8.2,Thistle Kensington Gardens,2134,7.5,51.510843900000005,-0.18390739999999997
2817,11 15 Rue De Lyon 12th arr 75012 Paris France,205,2/22/2017,8.3,Holiday Inn Paris Gare de Lyon Bastille,2200,10.0,48.8468064,2.3714789
3165,11 Bis Rue Jules Chaplain 6th arr 75006 Paris France,44,2/13/2017,8.7,H tel Chaplain Paris Rive Gauche,615,10.0,48.8427564,2.3305636
3357,11 rue du 8 Mai 1945 10th arr 75010 Paris France,44,6/13/2017,8.5,Le Marcel,413,8.8,48.8761376,2.3572681
3656,11 Thurloe Place Knightsbridge Kensington and Chelsea London SW7 2RS United Kingdom,421,2/14/2017,8.5,The Rembrandt,1802,9.2,51.4959227,-0.17029170000000002
3805,1 3 Rue d Argentine 16th arr 75116 Paris France,26,6/29/2017,8.4,Monhotel Lounge SPA,171,9.2,48.874348100000006,2.2897334
3841,110 rue Blomet 15th arr 75015 Paris France,39,11/24/2015,8.5,Hotel Eden,477,8.8,48.8405612,2.2991035
3842,1 5 Passage Ruelle 18th arr 75018 Paris France,13,6/29/2017,7.2,Kube Hotel Ice Bar,197,3.3,48.88657,2.3588332000000003
3922,12 Boulevard Haussmann 9th arr 75009 Paris France,78,9/18/2016,7.8,Millennium Hotel Paris Opera,515,7.5,48.8724588,2.3378004
3950,12 Upper Woburn Place Camden London WC1H 0HX United Kingdom,398,10/26/2016,7.9,Ambassadors Bloomsbury,1521,7.1,51.5266618,-0.12965710000000003
4160,124 Clerkenwell Rd Camden London EC1R 5DJ United Kingdom,68,4/5/2017,7.8,The Bryson Hotel,264,8.3,51.5220869,-0.1082443
4545,129 Bayswater Road London W2 4RJ United Kingdom,153,6/21/2016,7.8,Hilton London Hyde Park,646,7.5,51.510459999999995,-0.1875844
5078,13 15 Gower Street Camden London WC1E 6HE United Kingdom,111,3/20/2016,8.3,Staunton Hotel B B,615,10.0,51.520378,-0.1303414
5206,13 rue des Beaux Arts 6th arr 75006 Paris France,48,5/31/2016,8.8,L H tel,224,9.2,48.856227200000006,2.3351757999999996
5286,1 Addington Street Lambeth London SE1 7RY United Kingdom,1322,8/3/2017,8.4,Park Plaza County Hall London,6117,5.0,51.5014001,-0.11600919999999999
5570,13 rue Geoffroy Marie 9th arr 75009 Paris France,24,8/9/2015,8.4,Maxim Op ra,256,7.5,48.8738557,2.3444232000000005
6163,13 Rue Jules Cesar 12th arr 75012 Paris France,88,9/5/2016,8.6,Le Marceau Bastille,1059,10.0,48.8490691,2.3697484
6375,143 Avenue De Malakoff 16th arr 75016 Paris France,59,8/2/2016,8.9,La Villa Maillot,445,8.8,48.875551,2.2835191000000004
7346,1 Aldwych Westminster Borough London WC2B 4BZ United Kingdom,60,4/25/2017,9.2,One Aldwych,259,10.0,51.5117832,-0.1194172
7486,15 Rue De La Grande Chaumi re 6th arr 75006 Paris France,30,4/9/2017,8.8,H tel des Academies et des Arts,215,10.0,48.8420669,2.3304091000000002
7569,15 Seymour Street Westminster Borough London W1H 7JW United Kingdom,256,10/13/2016,8.2,The Leonard Hotel,1330,10.0,51.5147071,-0.15782910000000003
7608,1 Avenue Carnot 17th arr 75017 Paris France,75,12/21/2016,8.9,Splendid Etoile,486,8.8,48.874707,2.2936761000000003
7690,1 Bis Rue De Vaugirard 6th arr 75006 Paris France,99,6/21/2017,8.2,Hotel Trianon Rive Gauche,967,9.6,48.8487675,2.3410376
7851,1 Hamilton Place Park Lane Westminster Borough London W1J 7QY United Kingdom,162,12/21/2016,8.5,InterContinental London Park Lane,510,9.6,51.503863200000005,-0.1504132
8025,1 Kings Cross Road Islington London WC1X 9HX United Kingdom,628,9/29/2015,8.1,Crowne Plaza London Kings Cross,2312,8.8,51.5263854,-0.11360419999999999
8157,1 Impasse Marteau 18th arr 75018 Paris France,91,8/3/2017,7.4,Novotel Suites Paris Nord 18 me,1082,7.5,48.9015941,2.3597783
8331,1 Rue De Libourne 12th arr 75012 Paris France,150,10/31/2016,8.7,Pullman Paris Centre Bercy,1382,7.9,48.831520399999995,2.3870797
9242,1 Rue Du G n ral Blaise 11th arr 75011 Paris France,89,10/31/2016,8.2,Gardette Park Hotel,1011,8.0,48.8610265,2.3788974
9641,1 rue Geoffroy Marie 9th arr 75009 Paris France,40,6/30/2017,8.6,Hotel Panache,371,10.0,48.87325429999999,2.343239
10938,1 Suffolk Place Westminster Borough London SW1Y 4HX United Kingdom,68,5/2/2017,9.6,Haymarket Hotel,255,4.6,51.5084595,-0.1311382
11305,1 Kensington Court Kensington and Chelsea London W8 5DL United Kingdom,40,8/2/2017,9.5,Milestone Hotel Kensington,209,10.0,51.5020425,-0.18665410000000002
11469,1 Waterview Drive Greenwich London SE10 0TW United Kingdom,1258,10/31/2016,9.4,Intercontinental London The O2,4204,10.0,51.5024348,-0.0002497
12401,1 Place De La Sorbonne 5th arr 75005 Paris France,118,8/1/2017,8.9,Select Hotel,1145,9.6,48.84830529999999,2.3425596
13223,1 Rue Sainte Opportune 1st arr 75001 Paris France,61,7/22/2017,7.7,H tel des Ducs D Anjou,552,5.4,48.8598229,2.347111
13331,1 Rue Scribe 9th arr 75009 Paris France,97,7/29/2017,8.6,Hotel Scribe Paris Opera by Sofitel,705,8.8,48.8704175,2.3296832000000003
15236,10 12 rue Cognacq Jay 7th arr 75007 Paris France,96,12/16/2016,8.6,H tel Juliana Paris,577,7.1,48.861937299999994,2.3040298
15301,10 avenue Carnot 17th arr 75017 Paris France,39,8/3/2016,7.7,Belfast,337,7.5,48.8756435,2.2938788
15488,10 Avenue D I na 16th arr 75016 Paris France,38,1/27/2017,9.3,Shangri La Hotel Paris,174,2.5,48.8637135,2.2934759
15698,10 Beaufort Gardens Kensington and Chelsea London SW3 1PT United Kingdom,129,1/19/2016,9.1,Knightsbridge Hotel,473,8.3,51.4980052,-0.1643238
15979,10 Berners Street Westminster Borough London W1T 3NP United Kingdom,85,5/31/2016,9.1,The London EDITION,372,10.0,51.5167472,-0.135965
16037,10 Carlisle Street Westminster Borough London W1D 3BR United Kingdom,329,4/13/2017,9.0,The Nadler Soho,1394,8.3,51.5147387,-0.1341108
17891,10 Avenue Emile Zola 15th arr 75015 Paris France,33,6/8/2017,8.0,Mercure Paris Tour Eiffel Pont Mirabeau,259,7.5,48.8460269,2.2788281
18129,10 Harrington Road Kensington and Chelsea London SW7 3ER United Kingdom,220,6/29/2017,9.1,The Ampersand Hotel,902,10.0,51.49430770000001,-0.1755579
18276,10 Bina Gardens South Kensington Kensington and Chelsea London SW5 0LA United Kingdom,77,8/2/2017,7.8,The Cranley Hotel,388,5.0,51.4916378,-0.18328329999999998
18436,10 Bis rue du D barcad re 17th arr 75017 Paris France,26,7/8/2017,9.2,Hotel Le 10 BIS,196,10.0,48.8780363,2.2864907000000003
19777,10 Monmouth Street Camden London WC2H 9HB United Kingdom,46,4/6/2016,9.4,Covent Garden Hotel,158,9.6,51.51459860000001,-0.1270336
20101,10 Palace Place Westminster Borough London SW1E 5BW United Kingdom,303,7/16/2017,9.3,The Nadler Victoria,1608,7.9,51.4990259,-0.1427453
20122,10 Pepys Street City of London London EC3N 2NR United Kingdom,215,5/15/2017,8.6,Novotel London Tower Bridge,1082,7.5,51.51065379999999,-0.07736760000000001
20425,10 Place De La R publique 11th arr 75011 Paris France,141,6/18/2017,8.0,Crowne Plaza Paris R publique,1053,7.9,48.8673199,2.3656296
21777,10 Place De Mexico 16th arr 75016 Paris France,34,4/17/2017,8.3,Le Metropolitan a Tribute Portfolio Hotel,286,8.3,48.8656973,2.2829776
21843,10 rue Chateaubriand 8th arr 75008 Paris France,14,7/22/2017,8.2,Atala Champs Elys es,123,4.2,48.8735418,2.3024419999999997
21947,10 rue de Bruxelles 9th arr 75009 Paris France,56,7/14/2017,9.3,Maison Souquet,282,9.6,48.88366,2.3313845
22038,10 Rue de la Tour d Auvergne 9th arr 75009 Paris France,18,6/19/2017,8.3,Hotel Tour d Auvergne Opera,164,8.3,48.8789432,2.3448623
22181,10 Rue Gabriel Laumain 10th arr 75010 Paris France,15,7/14/2017,8.3,Windsor Opera,168,10.0,48.8734851,2.3485111
22215,10 rue Gager Gabillot 15th arr 75015 Paris France,27,8/3/2017,7.1,Holiday Inn Paris Montparnasse Pasteur,344,4.6,48.8376887,2.3063102000000004
22446,10 West Temple Sheen London SW14 7RT United Kingdom,70,8/6/2016,8.3,The Victoria,272,9.2,51.461121899999995,-0.27562159999999997
22458,10 rue Saint Hyacinthe 1st arr 75001 Paris France,43,7/31/2017,8.1,Hotel des Tuileries Relais du Silence,446,7.5,48.8661705,2.331561
22549,10 rue Saint Philippe du Roule 8th arr 75008 Paris France,43,6/23/2017,9.1,Bradford Elys es Astotel,234,10.0,48.8729676,2.3081177999999998
22631,10 Wardour Street Leicester Square Westminster Borough London W1D 6QF United Kingdom,255,8/2/2017,8.4,W London Leicester Square,863,9.2,51.510843,-0.1314287
24300,100 Cromwell Road Kensington and Chelsea London SW7 4ER United Kingdom,176,8/2/2017,8.7,Crowne Plaza London Kensington,743,10.0,51.495179,-0.183827
24605,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,8/2/2017,8.0,Doubletree by Hilton London Kensington,2367,5.4,51.4925138,-0.17879170000000003
25008,101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom,838,8/5/2016,8.4,The Grosvenor,3274,9.6,51.4956657,-0.1452793
25616,100 Shoreditch High Street Hackney London E1 6JQ United Kingdom,404,8/2/2017,8.6,Ace Hotel London Shoreditch,1593,7.9,51.5254162,-0.07728489999999999
26478,102 Avenue de Villiers 17th arr 75017 Paris France,100,3/31/2017,8.8,Amp re,998,10.0,48.8848583,2.2997023
27818,101 Knightsbridge Westminster Borough London SW1X 7RN United Kingdom,302,3/19/2017,8.2,The Park Tower Knightsbridge a Luxury Collection Hotel,901,10.0,51.5014191,-0.16258050000000002
28335,102 Avenue Victor Hugo 16th arr 75016 Paris France,10,5/7/2017,8.3,Melia Paris Champs Elys es,95,8.8,48.86889620000001,2.2827459
28350,102 Bd De Grenelle 15th arr 75015 Paris France,241,8/1/2017,8.6,Le Parisis Paris Tour Eiffel,1477,10.0,48.8494851,2.2955063
29639,108 Baker Street Westminster Borough London W1U 6LJ United Kingdom,341,8/27/2016,8.2,Park Plaza Sherlock Holmes London,1496,8.3,51.5209191,-0.1566567
30231,108 Rue Saint Lazare 8th arr 75008 Paris France,65,8/3/2017,8.4,Hilton Paris Opera,458,10.0,48.8756604,2.3252075
30340,109 113 Queen s Gate Kensington and Chelsea London SW7 5LR United Kingdom,212,8/2/2017,8.7,The Kensington Hotel,874,8.8,51.4925478,-0.1780611
30675,10a Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,641,8/3/2017,8.7,Holiday Inn London Stratford City,2130,9.6,51.5426054,-0.0072708
30924,11 Bis rue Mazagran 10th arr 75010 Paris France,25,4/28/2017,7.9,H tel Regina Op ra Grands Boulevards,287,9.2,48.8708508,2.3515882
31120,11 Rue de l Arcade 8th arr 75008 Paris France,80,7/4/2016,8.1,Op ra Marigny,735,8.3,48.871722999999996,2.3235377
31606,11 rue de Tr vise 9th arr 75009 Paris France,111,6/30/2017,8.3,H tel Diva Opera,1353,8.3,48.8732706,2.3450746
31673,10b Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,248,8/3/2017,9.2,Staybridge Suites London Stratford,945,9.6,51.542635100000005,-0.007327199999999999
32167,11 12 Poplar Mews Shepherd s Bush Hammersmith and Fulham London W12 7JS United Kingdom,227,8/3/2017,8.0,Shepherd s Bush Boutique Hotel,1069,10.0,51.5054544,-0.2262216
32700,11 13 Bayley Street Bedford Square Camden London WC1B 3HD United Kingdom,253,8/2/2017,8.1,My Bloomsbury,1161,9.2,51.5188555,-0.1319172
33732,11 Cadogan Gardens Sloane Square Kensington and Chelsea London SW3 2RJ United Kingdom,101,8/3/2017,8.7,11 Cadogan Gardens,393,9.6,51.493616100000004,-0.15923470000000003
33891,11 Knightsbridge Westminster Borough London SW1X 7LY United Kingdom,56,8/2/2017,9.0,The Wellesley Knightsbridge a Luxury Collection Hotel London,185,6.3,51.502485,-0.15392650000000002
33929,11 Rue Du Temple 4th arr 75004 Paris France,119,10/7/2016,8.6,H tel Duo,883,5.4,48.8581186,2.3529369
33969,11 Rue d Astorg 8th arr 75008 Paris France,19,10/22/2016,7.5,Hotel Astor Saint Honor ,101,9.2,48.87283239999999,2.3193886000000004
34620,11 rue Paul Baudry 8th arr 75008 Paris France,37,8/2/2017,8.7,H tel Le Marianne,213,8.8,48.8725794,2.3075779
35456,111 avenue de la Bourdonnais 7th arr 75007 Paris France,178,8/2/2017,8.8,H tel de la Bourdonnais,1337,10.0,48.8550466,2.304583
35818,111 Cromwell Road Kensington and Chelsea London SW7 4DP United Kingdom,123,7/27/2017,8.6,Ashburn Hotel,629,5.0,51.49455220000001,-0.1861213
36054,111 Westminster Bridge Road Lambeth London SE1 7JD United Kingdom,42,8/2/2017,8.6,Marlin Waterloo,218,10.0,51.4990953,-0.1132136
36141,112 boulevard de S bastopol 3rd arr 75003 Paris France,134,7/28/2017,8.3,Best Western Premier Marais Grands Boulevards,1408,9.6,48.868742499999996,2.3541761
36280,113 Lambeth Rd Lambeth London SE1 7LS United Kingdom,176,1/9/2017,8.2,Novotel London Waterloo,1047,6.7,51.4948465,-0.1187481
36320,117 129 Cromwell Road Kensington and Chelsea London SW7 4DS United Kingdom,229,5/30/2017,7.8,Park International Hotel,1252,10.0,51.4945144,-0.1866172
36661,116 Piccadilly Westminster Borough London W1J 7BJ United Kingdom,105,8/2/2017,8.1,The Athenaeum,364,7.9,51.504715999999995,-0.1475618
37351,117 Poplar High Street Tower Hamlets London E14 0AE United Kingdom,23,7/22/2017,9.4,Lansbury Heritage Hotel,82,10.0,51.5090985,-0.015730200000000003
37392,117 Rue Lauriston 16th arr 75116 Paris France,34,7/4/2017,7.9,Le Dokhan s a Tribute Portfolio Hotel,222,4.2,48.8663359,2.2867935
37416,11bis Rue Godot de Mauroy 9th arr 75009 Paris France,41,4/14/2017,8.7,Le Relais Madeleine,479,9.6,48.870961,2.3267678
37547,12 14 Rue Joseph De Maistre 18th arr 75018 Paris France,81,7/25/2017,9.0,Terrass H tel Montmartre by MH,707,7.9,48.8865626,2.3329647999999996
37871,12 boulevard Malesherbes 8th arr 75008 Paris France,139,7/31/2017,8.4,Waldorf Madeleine,1184,3.3,48.8715828,2.3224853
38152,12 Folgate Street City of London London E1 6BX United Kingdom,197,8/2/2017,9.4,Batty Langley s,644,10.0,51.5208575,-0.0779503
38282,12 Osborn Street Aldgate East Tower Hamlets London E1 6TE United Kingdom,404,5/15/2017,8.9,Arbor City,2197,7.5,51.5166755,-0.0697897
38498,12 Lancaster Gate Lancaster Gate Westminster Borough London W2 3LG United Kingdom,440,8/3/2017,8.0,Best Western Mornington Hotel Hyde Park,2418,8.8,51.51199329999999,-0.17827939999999998
39789,12 rue de Parme 9th arr 75009 Paris France,61,8/23/2015,9.0,Le Grey Hotel,393,8.5,48.881407,2.3274204
39892,12 Rue Jean Goujon 8th arr 75008 Paris France,57,10/28/2016,8.7,H tel San R gis,277,9.6,48.86657879999999,2.3084447
40100,12 rue de Marignan 8th arr 75008 Paris France,91,8/7/2016,8.7,Hotel Marignan Champs Elys es,645,9.2,48.8685093,2.3067895
40108,12 rue de la Montagne Sainte Genevi ve 5th arr 75005 Paris France,46,7/29/2017,9.0,Hotel La Lanterne,499,10.0,48.8489839,2.348383
40138,12 Rue de Louvois 2nd arr 75002 Paris France,40,10/18/2016,9.3,H tel Square Louvois,320,10.0,48.868416499999995,2.336869
40514,12 rue des Saussaies 8th arr 75008 Paris France,29,7/25/2017,9.0,Le Pavillon des Lettres,164,9.5,48.8713699,2.3181191
40622,12 rue Saint Didier 16th arr 75016 Paris France,73,7/11/2017,8.5,Garden Elys e,378,7.1,48.866344399999996,2.2881979
40697,12 rue Saint Roch 1st arr 75001 Paris France,37,7/26/2017,8.4,Hotel Louvre Montana,325,7.9,48.864462700000004,2.3318472999999997
41530,123 boulevard S bastopol 2nd arr 75002 Paris France,54,5/2/2017,9.3,Le 123 S bastopol Astotel,397,10.0,48.8675886,2.3531017999999997
41660,123 Rue Du Faubourg Saint Honor 8th arr 75008 Paris France,25,6/28/2017,9.2,Le 123 Elysees Astotel,171,9.6,48.8730823,2.309659
41821,128 King Henry s Road Camden London NW3 3ST United Kingdom,397,8/2/2017,8.3,London Marriott Hotel Regents Park,1640,9.2,51.5421476,-0.1703073
41843,128 avenue de Wagram 17th arr 75017 Paris France,30,7/31/2017,7.8,Best Western Mercedes Arc de Triomphe,368,10.0,48.8848292,2.3035189
43150,13 Boulevard Du Temple 3rd arr 75003 Paris France,69,5/31/2017,7.7,1K Hotel,663,5.0,48.863931799999996,2.3658744
43305,13 Rue De La Paix 2nd arr 75002 Paris France,158,7/30/2017,8.4,H tel Westminster,1374,9.2,48.8693409,2.3310263
43696,13 Rue Fran ois Ory 92120 Paris France,6,5/31/2017,7.5,Mercure Paris Porte d Orleans,110,7.9,48.8178079,2.3293636
43889,13 rue Saint Sulpice 6th arr 75006 Paris France,89,7/29/2017,8.6,Hotel Odeon Saint Germain,559,9.2,48.8513515,2.3375084
43900,130 134 Southampton Row Camden London WC1B 5AF United Kingdom,299,9/15/2015,8.3,Mercure London Bloomsbury Hotel,1361,4.2,51.5210085,-0.12309660000000001
44658,130 135 Minories City of London London EC3N 1NU United Kingdom,465,1/12/2016,8.9,The Chamberlain,2543,10.0,51.51224570000001,-0.0757326
45627,130 Tottenham Court Road Camden London W1T 5AY United Kingdom,713,8/3/2017,8.3,Radisson Blu Edwardian Grafton,2826,7.1,51.5241386,-0.1380807
46875,14 15 Langham Place Westminster Borough London W1B 2QS United Kingdom,368,2/8/2017,7.5,Saint Georges Hotel,2092,9.6,51.517839,-0.1424476
46982,132 Boulevard Haussmann 8th arr 75008 Paris France,25,7/30/2017,9.2,La Villa Haussmann,283,8.8,48.8753446,2.3167161
47024,134 George Street Westminster Borough London W1H 5DN United Kingdom,312,7/21/2017,8.2,London Marriott Hotel Marble Arch,1505,10.0,51.5163841,-0.16357639999999998
48230,14 16 Craven Hill Lancaster Gate Westminster Borough London W2 3DU United Kingdom,289,8/2/2017,8.8,Park Grand London Lancaster Gate,1519,6.0,51.51320689999999,-0.18078160000000001
48688,14 Rue Beaujon 8th arr 75008 Paris France,143,12/3/2015,8.8,Sofitel Paris Arc De Triomphe,825,7.5,48.875184499999996,2.3013214
48745,14 Henrietta Street Westminster Borough London WC2E 8QH United Kingdom,11,7/16/2017,9.2,The Henrietta Hotel,49,7.5,51.5109079,-0.1238221
49007,14 Rue de la Sorbonne 5th arr 75005 Paris France,37,6/5/2017,8.3,Hotel Mercure La Sorbonne Saint Germain des Pr s,464,8.3,48.8493499,2.3430569
49087,14 rue de la Tremoille 8th arr 75008 Paris France,52,7/17/2017,8.5,La Tremoille Paris,283,6.3,48.8668589,2.3028215
49116,14 Rue du Chevalier de Saint George 1st arr 75001 Paris France,127,2/22/2017,9.2,Hotel Op ra Richepanse,1073,9.2,48.8686931,2.325211
49405,14 Rue St Simon 7th arr 75007 Paris France,69,7/26/2017,9.0,H tel Duc De St Simon,379,9.6,48.8560685,2.3236846
49520,14 Rue Stanislas 6th arr 75006 Paris France,40,7/4/2017,9.1,Hotel Le Six,177,10.0,48.8438352,2.3280708
49583,140 Gloucester Road Kensington and Chelsea London SW7 4QH United Kingdom,528,8/2/2017,8.7,The Bailey s Hotel London,2485,9.2,51.4938733,-0.1824963
50601,140 Park Lane Westminster Borough London W1K 7AA United Kingdom,53,8/2/2017,8.8,London Marriott Hotel Park Lane,213,9.2,51.5131428,-0.1576714
50632,142 To 144 Warwick Way Victoria Westminster Borough London SW1V 4JE United Kingdom,31,12/19/2015,8.7,Windermere Hotel,221,8.3,51.4903724,-0.1459218
50680,141 rue St Honor 1st arr 75001 Paris France,97,8/1/2017,8.1,Best Western Premier Louvre Saint Honor ,923,6.3,48.861711,2.3406740000000004
50886,142 Minories City of London London EC3N 1LS United Kingdom,189,8/2/2017,9.2,Hotel Indigo London Tower Hill,781,9.6,51.5128032,-0.07586
51401,143 Boulevard Saint Germain 6th arr 75006 Paris France,59,7/27/2017,8.8,H tel Madison by MH,478,8.8,48.8531641,2.3344097
51502,144 Praed St Paddington Westminster Borough London W2 1HU United Kingdom,317,7/26/2017,7.6,Mercure London Paddington Hotel,1458,4.6,51.51611389999999,-0.1749521
52124,146 Praed Street Westminster Borough London W2 1EE United Kingdom,687,2/26/2017,8.2,Hilton London Paddington,2898,9.2,51.515632000000004,-0.17573699999999998
53195,15 16 Prince Of Wales Terrace Kensington and Chelsea London W8 5PQ United Kingdom,154,11/3/2016,8.2,Kensington House Hotel,689,9.2,51.5012329,-0.1859937
53304,147 Cromwell Road Kensington and Chelsea London SW5 0TH United Kingdom,105,8/2/2017,8.0,London Marriott Hotel Kensington,449,7.1,51.494484899999996,-0.18841739999999998
53464,15 Beeston Place Westminster Borough London SW1W 0JW United Kingdom,67,3/3/2017,9.4,The Goring,200,10.0,51.4975621,-0.14555099999999999
53762,15 17 Charlotte Street Hotel Westminster Borough London W1T 1RJ United Kingdom,88,12/31/2016,9.5,Charlotte Street Hotel,319,9.6,51.5184158,-0.1348509
54004,15 Boulevard Romain Rolland 14th arr 75014 Paris France,8,8/3/2017,8.3,Novotel Paris 14 Porte d Orl ans,147,8.8,48.8196885,2.3263505
54031,15 Cromwell Place Kensington and Chelsea London SW7 2LA United Kingdom,174,7/27/2017,8.6,The Pelham Starhotels Collezione,833,10.0,51.4943935,-0.17501689999999998
54308,15 Montague St Bloomsbury Camden London WC1B 5BJ United Kingdom,196,8/2/2017,9.3,The Montague On The Gardens,931,8.8,51.520181,-0.1256957
54697,15 rue de Constantinople 8th arr 75008 Paris France,47,6/30/2016,8.3,Best Western Premier Le Swann,601,4.6,48.8797331,2.3206002999999997
54723,15 Place Vend me 1st arr 75001 Paris France,21,7/14/2017,9.8,Ritz Paris,122,9.6,48.8679466,2.3289592999999997
54751,15 Quai Saint Michel 5th arr 75005 Paris France,23,8/2/2017,8.6,Hotel Les Rives de Notre Dame,265,10.0,48.853226899999996,2.3457159
54823,15 Rue Boissy d Anglas 8th arr 75008 Paris France,91,6/30/2017,8.5,Sofitel Paris Le Faubourg,564,8.8,48.868414,2.3213247000000004
54832,15 Rue Dupleix 15th arr 75015 Paris France,84,3/2/2017,8.8,Le Marquis Eiffel,489,9.2,48.8516619,2.2979395
54961,15 Rue de Bassano 16th arr 75016 Paris France,85,7/28/2017,8.3,Bassano,513,8.3,48.8690596,2.2971077999999996
55200,15 Rue Des Pyramides 1st arr 75001 Paris France,28,7/25/2017,8.7,Hotel Lumen Paris Louvre,289,10.0,48.86525820000001,2.3329632
55390,15 rue Edouard Manet 13th arr 75013 Paris France,152,8/3/2017,9.0,COQ Hotel Paris,1682,10.0,48.832876399999996,2.3572531000000003
56247,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,7/31/2017,8.4,DoubleTree by Hilton London Hyde Park,2405,9.2,51.5100362,-0.190657
56552,150 Piccadilly Westminster Borough London W1J 9BR United Kingdom,220,12/22/2015,9.3,The Ritz London,831,8.8,51.5069446,-0.1415776
56736,151 157 City Road Shoreditch Islington London EC1V 1JS United Kingdom,1471,8/2/2017,9.1,M by Montcalm Shoreditch London Tech City,4802,10.0,51.5278465,-0.0889473
56950,151 bis Rue de Rennes 6th arr 75006 Paris France,32,11/29/2015,8.9,Legend Saint Germain by Elegancia,406,9.6,48.8453774,2.3256427000000004
57245,152 Cricklewood Broadway Cricklewood London NW2 3ED United Kingdom,512,9/2/2016,8.0,Clayton Crown Hotel London,2491,7.5,51.556154799999995,-0.2141824
58105,153 Rue De Vaugirard 15th arr 75015 Paris France,90,4/17/2017,7.8,Best Western S vres Montparnasse,1544,8.3,48.843707,2.3155631000000003
58874,16 22 Great Russell Street Camden London WC1B 3NN United Kingdom,300,5/28/2017,9.0,The Bloomsbury Hotel,1254,10.0,51.5171671,-0.12905339999999998
59899,16 Avenue de l Opera 1st arr 75001 Paris France,58,5/30/2017,9.4,Nolinski Paris,437,10.0,48.8654874,2.3348923999999998
60708,153 Boulevard Saint Germain 6th arr 75006 Paris France,86,10/31/2015,8.6,Au Manoir Saint Germain,616,8.8,48.853688,2.3322667
60921,16 boulevard Haussmann 9th arr 75009 Paris France,37,4/18/2016,7.9,Paris Marriott Opera Ambassador Hotel,263,8.8,48.8728351,2.3362507000000003
61050,16 rue de Berri 8th arr 75008 Paris France,219,7/4/2016,8.2,H tel California Champs Elys es,1332,8.8,48.8726335,2.3048083999999998
61094,153 Hammersmith Road Hammersmith and Fulham London W14 0QL United Kingdom,204,8/3/2017,9.0,St Paul s Hotel,812,10.0,51.493475200000006,-0.21532559999999998
